Matrix_Dimension ,Predictor,Frequency ,Execution_Time
100,0.004,250,0.454622
150,0.004,250,1.139001
200,0.004,250,2.471897
250,0.004,250,4.739059
300,0.004,250,7.987842
350,0.004,250,12.479965
400,0.004,250,17.932707
450,0.004,250,25.472079
500,0.004,250,35.063072
550,0.004,250,47.157798
600,0.004,250,62.714318
650,0.004,250,79.816823
700,0.004,250,100.3445
750,0.004,250,123.931793
800,0.004,250,151.764523
850,0.004,250,183.458745
100,0.003333333,300,0.411324
150,0.003333333,300,0.963987
200,0.003333333,300,2.087327
250,0.003333333,300,3.793873
300,0.003333333,300,6.404949
350,0.003333333,300,10.4092
400,0.003333333,300,14.974817
450,0.003333333,300,21.478281
500,0.003333333,300,29.21802
550,0.003333333,300,39.313507
600,0.003333333,300,54.50523
650,0.003333333,300,66.649515
700,0.003333333,300,83.953495
750,0.003333333,300,103.84502
800,0.003333333,300,127.19742
850,0.003333333,300,153.134812
100,0.002857143,350,0.369716
150,0.002857143,350,1.036574
200,0.002857143,350,1.920446
250,0.002857143,350,3.26919
300,0.002857143,350,5.608864
350,0.002857143,350,8.962609
400,0.002857143,350,12.857674
450,0.002857143,350,18.329952
500,0.002857143,350,25.281998
550,0.002857143,350,33.660416
600,0.002857143,350,44.500419
650,0.002857143,350,57.400832
700,0.002857143,350,72.018244
750,0.002857143,350,89.195074
800,0.002857143,350,109.121023
850,0.002857143,350,131.89047
100,0.0025,400,0.287594
150,0.0025,400,1.128445
200,0.0025,400,1.558655
250,0.0025,400,2.880196
300,0.0025,400,4.849946
350,0.0025,400,7.699639
400,0.0025,400,11.299989
450,0.0025,400,16.152802
500,0.0025,400,22.048677
550,0.0025,400,29.755686
600,0.0025,400,41.174277
650,0.0025,400,50.328319
700,0.0025,400,64.983515
750,0.0025,400,78.313933
800,0.0025,400,95.951457
850,0.0025,400,115.846278
100,0.002222222,450,0.262006
150,0.002222222,450,0.605417
200,0.002222222,450,1.390776
250,0.002222222,450,2.547949
300,0.002222222,450,4.447783
350,0.002222222,450,6.865237
400,0.002222222,450,10.041797
450,0.002222222,450,14.414456
500,0.002222222,450,19.76106
550,0.002222222,450,26.422327
600,0.002222222,450,34.910015
650,0.002222222,450,44.777863
700,0.002222222,450,56.571859
750,0.002222222,450,69.583594
800,0.002222222,450,85.558963
850,0.002222222,450,104.149402
100,0.002,500,0.240495
150,0.002,500,0.610928
200,0.002,500,1.257431
250,0.002,500,2.305464
300,0.002,500,3.870208
350,0.002,500,6.31934
400,0.002,500,8.954871
450,0.002,500,13.034125
500,0.002,500,17.831169
550,0.002,500,23.898101
600,0.002,500,32.755843
650,0.002,500,40.52305
700,0.002,500,51.053626
750,0.002,500,62.970622
800,0.002,500,79.727515
850,0.002,500,93.251134
100,0.001818182,550,0.25605
150,0.001818182,550,0.537917
200,0.001818182,550,1.144034
250,0.001818182,550,2.085578
300,0.001818182,550,3.541443
350,0.001818182,550,5.621828
400,0.001818182,550,8.291597
450,0.001818182,550,11.742221
500,0.001818182,550,16.230037
550,0.001818182,550,21.792652
600,0.001818182,550,28.800126
650,0.001818182,550,37.008064
700,0.001818182,550,46.527825
750,0.001818182,550,57.547604
800,0.001818182,550,70.671838
850,0.001818182,550,85.020662
100,0.001666667,600,0.207401
150,0.001666667,600,0.528873
200,0.001666667,600,1.054302
250,0.001666667,600,2.045504
300,0.001666667,600,3.2727
350,0.001666667,600,5.190795
400,0.001666667,600,7.502141
450,0.001666667,600,10.889276
500,0.001666667,600,14.994055
550,0.001666667,600,20.071233
600,0.001666667,600,27.506167
650,0.001666667,600,34.144803
700,0.001666667,600,42.708578
750,0.001666667,600,53.650848
800,0.001666667,600,64.892377
850,0.001666667,600,78.198658
