Matrix_Dimension ,Matrix_Dimension_2,Matrix_Dimension_3,Frequency ,Execution_Time
100,10000,1000000,250,0.454622
100,10000,1000000,300,0.411324
100,10000,1000000,350,0.369716
100,10000,1000000,400,0.287594
100,10000,1000000,450,0.262006
100,10000,1000000,500,0.240495
100,10000,1000000,550,0.25605
100,10000,1000000,600,0.207401
100,10000,1000000,800,0.121959
100,10000,1000000,900,0.111099
100,10000,1000000,1000,0.100314
100,10000,1000000,1100,0.096543
100,10000,1000000,1200,0.087159
100,10000,1000000,1300,0.085879
100,10000,1000000,1400,0.082254
100,10000,1000000,1500,0.10305
100,10000,1000000,1600,0.071891
150,22500,3375000,250,1.139001
150,22500,3375000,300,0.963987
150,22500,3375000,350,1.036574
150,22500,3375000,400,1.128445
150,22500,3375000,450,0.605417
150,22500,3375000,500,0.610928
150,22500,3375000,550,0.537917
150,22500,3375000,600,0.528873
150,22500,3375000,800,0.273181
150,22500,3375000,900,0.252071
150,22500,3375000,1000,0.268511
150,22500,3375000,1100,0.214886
150,22500,3375000,1200,0.188295
150,22500,3375000,1300,0.182483
150,22500,3375000,1400,0.16676
150,22500,3375000,1500,0.155067
150,22500,3375000,1600,0.149425
200,40000,8000000,250,2.471897
200,40000,8000000,300,2.087327
200,40000,8000000,350,1.920446
200,40000,8000000,400,1.558655
200,40000,8000000,450,1.390776
200,40000,8000000,500,1.257431
200,40000,8000000,550,1.144034
200,40000,8000000,600,1.054302
200,40000,8000000,800,0.546308
200,40000,8000000,900,0.494431
200,40000,8000000,1000,0.445247
200,40000,8000000,1100,0.450655
200,40000,8000000,1200,0.381365
200,40000,8000000,1300,0.349569
200,40000,8000000,1400,0.316264
200,40000,8000000,1500,0.310036
200,40000,8000000,1600,0.276432
250,62500,15625000,250,4.739059
250,62500,15625000,300,3.793873
250,62500,15625000,350,3.26919
250,62500,15625000,400,2.880196
250,62500,15625000,450,2.547949
250,62500,15625000,500,2.305464
250,62500,15625000,550,2.085578
250,62500,15625000,600,2.045504
250,62500,15625000,800,1.030382
250,62500,15625000,900,0.847051
250,62500,15625000,1000,0.790018
250,62500,15625000,1100,0.735745
250,62500,15625000,1200,0.717244
250,62500,15625000,1300,0.60983
250,62500,15625000,1400,0.585697
250,62500,15625000,1500,0.548901
250,62500,15625000,1600,0.564092
300,90000,27000000,250,7.987842
300,90000,27000000,300,6.404949
300,90000,27000000,350,5.608864
300,90000,27000000,400,4.849946
300,90000,27000000,450,4.447783
300,90000,27000000,500,3.870208
300,90000,27000000,550,3.541443
300,90000,27000000,600,3.2727
300,90000,27000000,800,1.677447
300,90000,27000000,900,1.514852
300,90000,27000000,1000,1.38929
300,90000,27000000,1100,1.25767
